_id,userInputs,sessionID,stationID,spaceID,siteID,clusterID,connectionTime,disconnectTime,kWhDelivered,doneChargingTime,timezone,userID,parsed_userID,parsed_milesRequested,parsed_WhPerMile,parsed_minutesAvailable,parsed_modifiedAt,parsed_paymentRequired,parsed_requestedDeparture,parsed_kWhRequested,parsed_sessionID,revisionCount,userInput_revisionCount,urgency_score,flexibility_index,habit_stability,grid_impact_proxy
5c3fda9df9af8b0d99c6fd60,"[{'userID': 489, 'milesRequested': 210, 'WhPerMile': 475, 'minutesAvailable': 629, 'modifiedAt': 'Tue, 01 Jan 2019 03:47:45 GMT', 'paymentRequired': True, 'requestedDeparture': 'Tue, 01 Jan 2019 14:14:49 GMT', 'kWhRequested': 99.75, 'sessionID': '2_39_138_29_2019-01-01 03:45:49.452098'}, {'userID': 489, 'milesRequested': 210, 'WhPerMile': 475, 'minutesAvailable': 641, 'modifiedAt': 'Tue, 01 Jan 2019 03:50:27 GMT', 'paymentRequired': True, 'requestedDeparture': 'Tue, 01 Jan 2019 14:26:49 GMT', 'kWhRequested': 99.75, 'sessionID': '2_39_138_29_2019-01-01 03:45:49.452098'}]",2_39_138_29_2019-01-01 03:45:49.452098,2-39-138-29,CA-304,2,39,"Tue, 01 Jan 2019 03:45:49 GMT","Tue, 01 Jan 2019 17:57:23 GMT",43.114,"Tue, 01 Jan 2019 10:40:45 GMT",America/Los_Angeles,489.0,489.0,210.0,475.0,641.0,2019-01-01 03:50:27,True,2019-01-01 14:26:49,99.75,2_39_138_29_2019-01-01 03:45:49.452098,2.0,0,92,0.69,0.52,high
5c3fda9df9af8b0d99c6fd61,"[{'userID': 1616, 'milesRequested': 20, 'WhPerMile': 400, 'minutesAvailable': 60, 'modifiedAt': 'Tue, 01 Jan 2019 05:30:01 GMT', 'paymentRequired': True, 'requestedDeparture': 'Tue, 01 Jan 2019 06:28:34 GMT', 'kWhRequested': 8.0, 'sessionID': '2_39_130_31_2019-01-01 05:28:33.527740'}]",2_39_130_31_2019-01-01 05:28:33.527740,2-39-130-31,CA-306,2,39,"Tue, 01 Jan 2019 05:28:34 GMT","Tue, 01 Jan 2019 06:03:12 GMT",3.25,"Tue, 01 Jan 2019 06:03:06 GMT",America/Los_Angeles,1616.0,1616.0,20.0,400.0,60.0,2019-01-01 05:30:01,True,2019-01-01 06:28:34,8.0,2_39_130_31_2019-01-01 05:28:33.527740,1.0,0,68,0.54,0.56,low
5c412c1df9af8b12cb56c27d,"[{'userID': 558, 'milesRequested': 80, 'WhPerMile': 222, 'minutesAvailable': 514, 'modifiedAt': 'Tue, 01 Jan 2019 18:09:19 GMT', 'paymentRequired': True, 'requestedDeparture': 'Wed, 02 Jan 2019 02:43:17 GMT', 'kWhRequested': 17.76, 'sessionID': '2_39_79_379_2019-01-01 18:09:16.991864'}]",2_39_79_379_2019-01-01 18:09:16.991864,2-39-79-379,CA-327,2,39,"Tue, 01 Jan 2019 18:09:17 GMT","Wed, 02 Jan 2019 02:39:32 GMT",12.534,"Tue, 01 Jan 2019 20:16:10 GMT",America/Los_Angeles,558.0,558.0,80.0,222.0,514.0,2019-01-01 18:09:19,True,2019-01-02 02:43:17,17.76,2_39_79_379_2019-01-01 18:09:16.991864,1.0,0,30,0.71,0.9,high
5c412c1df9af8b12cb56c280,"[{'userID': 1135, 'milesRequested': 50, 'WhPerMile': 400, 'minutesAvailable': 282, 'modifiedAt': 'Tue, 01 Jan 2019 21:06:08 GMT', 'paymentRequired': True, 'requestedDeparture': 'Wed, 02 Jan 2019 01:47:57 GMT', 'kWhRequested': 20.0, 'sessionID': '2_39_79_378_2019-01-01 21:05:56.972890'}]",2_39_79_378_2019-01-01 21:05:56.972890,2-39-79-378,CA-326,2,39,"Tue, 01 Jan 2019 21:05:57 GMT","Wed, 02 Jan 2019 02:03:02 GMT",16.136,"Wed, 02 Jan 2019 01:59:27 GMT",America/Los_Angeles,1135.0,1135.0,50.0,400.0,282.0,2019-01-01 21:06:08,True,2019-01-02 01:47:57,20.0,2_39_79_378_2019-01-01 21:05:56.972890,1.0,0,30,0.59,0.8,medium
5c412c1df9af8b12cb56c281,"[{'userID': 838, 'milesRequested': 60, 'WhPerMile': 433, 'minutesAvailable': 277, 'modifiedAt': 'Tue, 01 Jan 2019 21:08:55 GMT', 'paymentRequired': True, 'requestedDeparture': 'Wed, 02 Jan 2019 01:45:49 GMT', 'kWhRequested': 25.98, 'sessionID': '2_39_139_28_2019-01-01 21:08:49.264929'}]",2_39_139_28_2019-01-01 21:08:49.264929,2-39-139-28,CA-303,2,39,"Tue, 01 Jan 2019 21:08:49 GMT","Tue, 01 Jan 2019 22:52:39 GMT",2.917,"Tue, 01 Jan 2019 22:17:15 GMT",America/Los_Angeles,838.0,838.0,60.0,433.0,277.0,2019-01-01 21:08:55,True,2019-01-02 01:45:49,25.98,2_39_139_28_2019-01-01 21:08:49.264929,1.0,0,89,0.55,0.83,high
5c412c1df9af8b12cb56c283,"[{'userID': 754, 'milesRequested': 50, 'WhPerMile': 300, 'minutesAvailable': 170, 'modifiedAt': 'Tue, 01 Jan 2019 22:23:58 GMT', 'paymentRequired': True, 'requestedDeparture': 'Wed, 02 Jan 2019 01:13:40 GMT', 'kWhRequested': 15.0, 'sessionID': '2_39_125_21_2019-01-01 22:23:40.471724'}]",2_39_125_21_2019-01-01 22:23:40.471724,2-39-125-21,CA-311,2,39,"Tue, 01 Jan 2019 22:23:40 GMT","Wed, 02 Jan 2019 00:54:51 GMT",13.273,"Wed, 02 Jan 2019 00:30:48 GMT",America/Los_Angeles,754.0,754.0,50.0,300.0,170.0,2019-01-01 22:23:58,True,2019-01-02 01:13:40,15.0,2_39_125_21_2019-01-01 22:23:40.471724,1.0,0,8,0.99,0.8,medium
5c427db1f9af8b1e1a538287,"[{'userID': 556, 'milesRequested': 210, 'WhPerMile': 300, 'minutesAvailable': 494, 'modifiedAt': 'Wed, 02 Jan 2019 13:54:02 GMT', 'paymentRequired': True, 'requestedDeparture': 'Wed, 02 Jan 2019 22:07:10 GMT', 'kWhRequested': 63.0, 'sessionID': '2_39_127_19_2019-01-02 13:53:10.182304'}]",2_39_127_19_2019-01-02 13:53:10.182304,2-39-127-19,CA-309,2,39,"Wed, 02 Jan 2019 13:53:10 GMT","Wed, 02 Jan 2019 22:38:52 GMT",36.608,"Wed, 02 Jan 2019 19:50:11 GMT",America/Los_Angeles,556.0,556.0,210.0,300.0,494.0,2019-01-02 13:54:02,True,2019-01-02 22:07:10,63.0,2_39_127_19_2019-01-02 13:53:10.182304,1.0,0,63,0.55,0.9,medium
5c427db1f9af8b1e1a538288,"[{'userID': 1001, 'milesRequested': 50, 'WhPerMile': 240, 'minutesAvailable': 307, 'modifiedAt': 'Wed, 02 Jan 2019 15:53:29 GMT', 'paymentRequired': True, 'requestedDeparture': 'Wed, 02 Jan 2019 21:00:25 GMT', 'kWhRequested': 12.0, 'sessionID': '2_39_79_382_2019-01-02 15:53:25.247434'}, {'userID': 1001, 'milesRequested': 50, 'WhPerMile': 240, 'minutesAvailable': 307, 'modifiedAt': 'Wed, 02 Jan 2019 15:54:12 GMT', 'paymentRequired': True, 'requestedDeparture': 'Wed, 02 Jan 2019 21:00:25 GMT', 'kWhRequested': 12.0, 'sessionID': '2_39_79_382_2019-01-02 15:53:25.247434'}]",2_39_79_382_2019-01-02 15:53:25.247434,2-39-79-382,CA-491,2,39,"Wed, 02 Jan 2019 15:53:25 GMT","Thu, 03 Jan 2019 00:38:37 GMT",8.855,"Wed, 02 Jan 2019 19:05:25 GMT",America/Los_Angeles,1001.0,1001.0,50.0,240.0,307.0,2019-01-02 15:54:12,True,2019-01-02 21:00:25,12.0,2_39_79_382_2019-01-02 15:53:25.247434,2.0,0,23,0.9,0.8,medium
5c427db1f9af8b1e1a538289,"[{'userID': 1110, 'milesRequested': 90, 'WhPerMile': 400, 'minutesAvailable': 542, 'modifiedAt': 'Wed, 02 Jan 2019 16:13:33 GMT', 'paymentRequired': True, 'requestedDeparture': 'Thu, 03 Jan 2019 01:14:39 GMT', 'kWhRequested': 36.0, 'sessionID': '2_39_78_361_2019-01-02 16:12:38.806280'}]",2_39_78_361_2019-01-02 16:12:38.806280,2-39-78-361,CA-493,2,39,"Wed, 02 Jan 2019 16:12:39 GMT","Thu, 03 Jan 2019 01:06:11 GMT",10.402,"Wed, 02 Jan 2019 19:10:32 GMT",America/Los_Angeles,1110.0,1110.0,90.0,400.0,542.0,2019-01-02 16:13:33,True,2019-01-03 01:14:39,36.0,2_39_78_361_2019-01-02 16:12:38.806280,1.0,0,71,0.9,0.8,high
5c427db1f9af8b1e1a53828a,"[{'userID': 234, 'milesRequested': 250, 'WhPerMile': 250, 'minutesAvailable': 501, 'modifiedAt': 'Wed, 02 Jan 2019 16:18:53 GMT', 'paymentRequired': True, 'requestedDeparture': 'Thu, 03 Jan 2019 00:39:36 GMT', 'kWhRequested': 62.5, 'sessionID': '2_39_91_441_2019-01-02 16:18:35.672653'}]",2_39_91_441_2019-01-02 16:18:35.672653,2-39-91-441,CA-499,2,39,"Wed, 02 Jan 2019 16:18:36 GMT","Wed, 02 Jan 2019 23:53:56 GMT",46.058,"Wed, 02 Jan 2019 23:53:52 GMT",America/Los_Angeles,234.0,234.0,250.0,250.0,501.0,2019-01-02 16:18:53,True,2019-01-03 00:39:36,62.5,2_39_91_441_2019-01-02 16:18:35.672653,1.0,0,26,0.81,0.61,medium
5c427db1f9af8b1e1a53828b,"[{'userID': 232, 'milesRequested': 130, 'WhPerMile': 391, 'minutesAvailable': 520, 'modifiedAt': 'Wed, 02 Jan 2019 16:19:59 GMT', 'paymentRequired': True, 'requestedDeparture': 'Thu, 03 Jan 2019 00:58:56 GMT', 'kWhRequested': 50.83, 'sessionID': '2_39_79_379_2019-01-02 16:18:55.665332'}]",2_39_79_379_2019-01-02 16:18:55.665332,2-39-79-379,CA-327,2,39,"Wed, 02 Jan 2019 16:18:56 GMT","Thu, 03 Jan 2019 02:17:39 GMT",39.007,"Thu, 03 Jan 2019 02:17:34 GMT",America/Los_Angeles,232.0,232.0,130.0,391.0,520.0,2019-01-02 16:19:59,True,2019-01-03 00:58:56,50.83,2_39_79_379_2019-01-02 16:18:55.665332,1.0,0,50,0.722,0.8,high
