iter	RMSE
0	9.061838077
1	8.86142937
2	8.66230887
3	8.488972988
4	8.294511145
5	8.103200192
6	7.93125671
7	7.757389411
8	7.587398243
9	7.419086666
10	7.246331659
11	7.102372003
12	6.952009333
13	6.798561724
14	6.653646146
15	6.515884623
16	6.380209063
17	6.249500822
18	6.121100483
19	5.992887534
20	5.862088228
21	5.744938095
22	5.619591938
23	5.500033677
24	5.404534789
25	5.302822189
26	5.193816162
27	5.096842536
28	4.988468064
29	4.888383792
30	4.790953356
31	4.70494004
32	4.611224978
33	4.514154855
34	4.42494839
35	4.339949983
36	4.257583374
37	4.171817706
38	4.09103501
39	4.01557714
40	3.942151747
41	3.872620501
42	3.80517616
43	3.737226447
44	3.67139545
45	3.601107639
46	3.53213411
47	3.474722773
48	3.423044762
49	3.361972002
50	3.302973855
51	3.245276157
52	3.19714186
53	3.14715224
54	3.097501457
55	3.049180177
56	2.999701669
57	2.947693569
58	2.898398458
59	2.852832566
60	2.807019645
61	2.763722812
62	2.723564221
63	2.679784077
64	2.637636835
65	2.59637274
66	2.552517681
67	2.515828057
68	2.477831674
69	2.441713157
70	2.407192704
71	2.372265391
72	2.336356127
73	2.303894895
74	2.275000858
75	2.245368372
76	2.212861559
77	2.185695358
78	2.152815282
79	2.119665331
80	2.093164273
81	2.068322261
82	2.045148675
83	2.021425683
84	1.99625571
85	1.973459948
86	1.947274448
87	1.924848309
88	1.900932433
89	1.882476881
90	1.86085325
91	1.841162344
92	1.818827351
93	1.799004905
94	1.777945934
95	1.757761023
96	1.736022485
97	1.717798909
98	1.700078585
99	1.679190598
100	1.660035561
101	1.642091421
102	1.626454778
103	1.610227621
104	1.592866552
105	1.576698755
106	1.565909932
107	1.549471173
108	1.53484215
109	1.521275401
110	1.507676436
111	1.493019773
112	1.478973777
113	1.464904306
114	1.452055221
115	1.444400863
116	1.432183741
117	1.419136359
118	1.405798364
119	1.402193685
120	1.389993169
121	1.377308286
122	1.365352655
123	1.355698168
124	1.345442955
125	1.335986053
126	1.324679873
127	1.314994738
128	1.303963679
129	1.298841453
130	1.295778058
131	1.28403854
132	1.276784603
133	1.273377783
134	1.270014793
135	1.259904491
136	1.257263562
137	1.252366359
138	1.249942616
139	1.247065464
140	1.238569889
141	1.235888811
142	1.233109325
143	1.229692194
144	1.220883459
145	1.218328061
146	1.208545778
147	1.200634651
148	1.197902072
149	1.195207113
150	1.192363412
151	1.183967015
152	1.180115188
153	1.176793136
154	1.167573488
155	1.160465485
156	1.158021567
157	1.148868035
158	1.140381277
159	1.137635454
160	1.135115496
161	1.132740427
162	1.129732287
163	1.12698953
164	1.124900145
165	1.116829683
166	1.108291687
167	1.098792252
168	1.096893625
169	1.08833209
170	1.086112912
171	1.082956618
172	1.07966827
173	1.077848578
174	1.076485571
175	1.070472671
176	1.06823579
177	1.065756852
178	1.064029626
179	1.060951435
180	1.058845334
181	1.057183517
182	1.051650125
183	1.049629999
184	1.043465547
185	1.041763674
186	1.039793587
187	1.038319943
188	1.031541035
189	1.029355071
190	1.024134271
191	1.021922807
192	1.015468661
193	1.013540313
194	1.011686125
195	1.004134281
196	1.0024876
197	0.9958915078
198	0.9879218534
199	0.9861620528
200	0.9847452647
201	0.9832363406
202	0.9765266038
203	0.9743573734
204	0.9730141466
205	0.9716311428
206	0.9703521856
207	0.9680319143
208	0.9607955256
209	0.9542684114
210	0.949637358
211	0.9425903798
212	0.9381732682
213	0.9368172802
214	0.930870277
215	0.9245382431
216	0.9225490883
217	0.9182197831
218	0.9169122507
219	0.9155550873
220	0.9135504503
221	0.9072787858
222	0.9031966672
223	0.902119046
224	0.9008705669
225	0.8994848997
226	0.8963004274
227	0.8947093638
228	0.889498833
229	0.8843832255
230	0.8793023489
231	0.8764020487
232	0.8703251621
233	0.8688556264
234	0.8672439
235	0.8659728961
236	0.8652259424
237	0.86034
238	0.8594467284
239	0.8579356154
240	0.8522514212
241	0.8467293596
242	0.8422053943
243	0.8378021795
244	0.8326191833
245	0.8313598683
246	0.8303025179
247	0.8251134574
248	0.8240391431
249	0.8222514718
250	0.8206613387
251	0.8171774965
252	0.8160324635
253	0.8123550108
254	0.8114937875
255	0.8074516801
256	0.806192541
257	0.8048274113
258	0.8035032469
259	0.8023299635
260	0.7974687517
261	0.7926826325
262	0.7915142701
263	0.7903660302
264	0.7865744711
265	0.781308397
266	0.7786303978
267	0.7748170726
268	0.7700101563
269	0.7686606645
270	0.7642684387
271	0.7626578348
272	0.7587626304
273	0.7541487331
274	0.7530451135
275	0.751576371
276	0.747775223
277	0.7431554361
278	0.7420778742
279	0.7413616724
280	0.7367375131
281	0.7353895332
282	0.7311881354
283	0.726883862
284	0.7228879085
285	0.7223181523
286	0.7214353256
287	0.7205404025
288	0.7177316333
289	0.7167007143
290	0.7153316672
291	0.7146209812
292	0.7137695159
293	0.7100008866
294	0.7094927792
295	0.7054814964
296	0.7012559864
297	0.7001901773
298	0.6989814313
299	0.6981838975
300	0.6973294289
301	0.6928154008
302	0.6886545778
303	0.6852017995
304	0.6820852025
305	0.6782508598
306	0.6773050096
307	0.6754454809
308	0.6750161318
309	0.6712237642
310	0.670431155
311	0.6672112127
312	0.6636252982
313	0.6614461316
314	0.6583895697
315	0.6544574268
316	0.6518868598
317	0.6511273647
318	0.6501925255
319	0.649350906
320	0.6484919889
321	0.6476666537
322	0.647132015
323	0.646401547
324	0.6427193539
325	0.6392088228
326	0.638685129
327	0.637801961
328	0.6352676038
329	0.6323061993
330	0.6312873042
331	0.6304076296
332	0.6266194447
333	0.6258680607
334	0.6254386949
335	0.6220102896
336	0.6211083402
337	0.6203065468
338	0.6185474951
339	0.6160877569
340	0.6127505933
341	0.6122154097
342	0.608956804
343	0.6061134199
344	0.6029566729
345	0.6002028603
346	0.5973930223
347	0.5951079714
348	0.5917260461
349	0.5886118861
350	0.5880042971
351	0.5872983271
352	0.5844256192
353	0.5835715201
354	0.5831097398
355	0.5821260158
356	0.5814977461
357	0.5802632925
358	0.5792637236
359	0.5785198443
360	0.5756420057
361	0.5725367671
362	0.5719325805
363	0.5684194517
364	0.5668046594
365	0.5658804157
366	0.5630301797
367	0.5623430711
368	0.5593324054
369	0.5587499705
370	0.5583529014
371	0.555623692
372	0.5533407033
373	0.5509226417
374	0.5490375259
375	0.5486461022
376	0.5459747886
377	0.5456294394
378	0.5433035531
379	0.5411045137
380	0.5404631848
381	0.5382299218
382	0.5356544994
383	0.5326972516
384	0.5321486802
385	0.5300476085
386	0.5295252037
387	0.5270312808
388	0.5264829661
389	0.5242617198
390	0.5219141408
391	0.5215024053
392	0.5209479512
393	0.5204116661
394	0.5184147771
395	0.5168387858
396	0.5143479866
397	0.5127796674
398	0.5104665246
399	0.5100696825
400	0.5097651043
401	0.5075510448
402	0.5070524849
403	0.5065946523
404	0.506044937
405	0.5041377129
406	0.502717293
407	0.5004103998
408	0.4998577095
409	0.4982393711
410	0.4977766005
411	0.495494105
412	0.4948388998
413	0.4925922082
414	0.4923233839
415	0.4920042401
416	0.4896415533
417	0.4879765906
418	0.4868518599
419	0.4847644101
420	0.4834362209
421	0.4814312655
422	0.4808128026
423	0.4792262621
424	0.4776112692
425	0.4753748339
426	0.4751082497
427	0.4728963532
428	0.4708671741
429	0.4694070974
430	0.4677465149
431	0.4674548107
432	0.4672279245
433	0.4650339421
434	0.4646809717
435	0.4623531711
436	0.4608014072
437	0.4592214117
438	0.4574260025
439	0.4553969134
440	0.4536067566
441	0.4521995994
442	0.4518875313
443	0.4515328351
444	0.4511890792
445	0.4497950567
446	0.4485350997
447	0.4465300263
448	0.4458757031
449	0.4448431666
450	0.4431570864
451	0.4417800687
452	0.440252447
453	0.4389023726
454	0.4377706881
455	0.4358160729
456	0.4343219319
457	0.4327427154
458	0.4316965328
459	0.4299647048
460	0.4290923998
461	0.4277063259
462	0.4275334189
463	0.4258336715
464	0.4241409803
465	0.4224306739
466	0.4208648742
467	0.4201515091
468	0.4185561038
469	0.4172194338
470	0.41655166
471	0.4149679561
472	0.4147529339
473	0.4130669076
474	0.4128075173
475	0.4110829906
476	0.4100209495
477	0.4086070189
478	0.4079596043
479	0.4076357444
480	0.4064065111
481	0.4056668357
482	0.4050512587
483	0.4036944707
484	0.4021062296
485	0.4006079267
