iter	Passed	Remaining
0	21	17011
1	42	16902
2	62	16586
3	79	15768
4	94	15028
5	112	14896
6	126	14382
7	141	14052
8	155	13708
9	169	13424
10	183	13154
11	196	12899
12	209	12689
13	224	12586
14	237	12427
15	250	12254
16	262	12098
17	274	11941
18	286	11790
19	298	11657
20	311	11563
21	324	11483
22	337	11391
23	352	11386
24	364	11307
25	377	11226
26	391	11207
27	412	11376
28	430	11444
29	454	11661
30	477	11852
31	495	11885
32	512	11908
33	531	11967
34	550	12022
35	571	12120
36	592	12208
37	612	12276
38	629	12276
39	645	12270
40	661	12241
41	679	12271
42	703	12379
43	721	12390
44	738	12392
45	757	12422
46	777	12463
47	797	12500
48	820	12578
49	840	12603
50	862	12666
51	880	12665
52	899	12679
53	919	12696
54	941	12752
55	962	12793
56	981	12795
57	999	12792
58	1017	12779
59	1037	12794
60	1056	12798
61	1074	12795
62	1096	12832
63	1115	12832
64	1131	12796
65	1148	12771
66	1164	12743
67	1180	12712
68	1195	12669
69	1209	12610
70	1224	12576
71	1239	12529
72	1252	12471
73	1266	12429
74	1279	12373
75	1294	12327
76	1315	12352
77	1335	12357
78	1355	12369
79	1372	12353
80	1388	12326
81	1404	12301
82	1420	12272
83	1435	12231
84	1452	12216
85	1467	12184
86	1480	12134
87	1492	12075
88	1525	12183
89	1580	12469
90	1594	12422
91	1619	12459
92	1632	12413
93	1646	12366
94	1657	12302
95	1668	12237
96	1681	12187
97	1692	12126
98	1704	12069
99	1716	12016
100	1728	11960
101	1740	11910
102	1752	11861
103	1769	11838
104	1783	11802
105	1795	11756
106	1809	11716
107	1821	11672
108	1835	11637
109	1847	11591
110	1861	11553
111	1873	11510
112	1889	11486
113	1908	11487
114	1927	11481
115	1945	11469
116	1960	11443
117	1976	11426
118	1991	11394
119	2007	11375
120	2022	11349
121	2036	11316
122	2049	11280
123	2062	11245
124	2075	11207
125	2086	11160
126	2098	11119
127	2111	11086
128	2123	11046
129	2136	11011
130	2147	10967
131	2159	10926
132	2172	10897
133	2184	10856
134	2196	10820
135	2207	10777
136	2218	10733
137	2229	10692
138	2239	10650
139	2251	10614
140	2263	10578
141	2275	10545
142	2288	10512
143	2299	10475
144	2310	10436
145	2321	10398
146	2333	10366
147	2347	10340
148	2361	10316
149	2371	10278
150	2383	10244
151	2397	10219
152	2417	10222
153	2435	10215
154	2453	10210
155	2482	10248
156	2503	10254
157	2519	10238
158	2538	10234
159	2553	10212
160	2572	10208
161	2585	10182
162	2602	10171
163	2618	10153
164	2635	10143
165	2654	10136
166	2671	10124
167	2689	10116
168	2705	10099
169	2718	10076
170	2733	10056
171	2747	10030
172	2761	10010
173	2777	9993
174	2783	9940
175	2799	9926
