session_id,time_slot,power_kw,energy_kwh
5865,0,1.29,0.323
5865,4,11.0,2.75
5865,5,11.0,2.75
5865,6,11.0,2.75
5865,7,11.0,2.75
5865,8,11.0,2.75
5865,9,11.0,2.75
5865,10,11.0,2.75
5865,11,11.0,2.75
5865,12,11.0,2.75
5865,13,11.0,2.75
5865,14,11.0,2.75
5865,15,11.0,2.75
5865,16,11.0,2.75
5865,17,11.0,2.75
5865,18,11.0,2.75
5865,19,11.0,2.75
5865,20,11.0,2.75
5865,21,11.0,2.75
5865,22,11.0,2.75
5865,23,11.0,2.75
1197,8,11.0,2.75
1197,9,13.44,3.361
1197,10,11.0,2.75
1197,11,11.0,2.75
1197,12,14.75,3.686
7261,9,14.99,3.749
7261,10,11.0,2.75
7261,15,11.0,2.75
6838,4,7.3,1.825
6838,7,11.0,2.75
6838,8,11.0,2.75
6838,9,11.0,2.75
2191,23,7.88,1.97
6442,17,11.0,2.75
6442,20,11.0,2.75
6442,21,5.54,1.386
6442,22,11.0,2.75
5598,7,7.24,1.809
5598,14,11.0,2.75
5598,19,11.0,2.75
5598,23,24.73,6.183
4127,15,0.59,0.148
4127,20,30.08,7.521
4127,23,11.0,2.75
4763,6,0.94,0.235
4763,7,11.0,2.75
4763,12,11.0,2.75
4763,13,30.16,7.541
6412,0,11.0,2.75
6412,4,16.33,4.083
6412,6,11.0,2.75
2651,0,20.62,5.155
2651,1,11.0,2.75
2651,22,3.5,0.875
8652,7,5.14,1.284
8652,9,11.0,2.75
8652,10,11.0,2.75
789,21,17.63,4.407
1402,0,11.0,2.75
1402,1,11.0,2.75
1402,2,11.0,2.75
1402,3,33.25,8.313
1402,4,11.0,2.75
1402,5,11.0,2.75
1402,6,11.0,2.75
1402,7,11.0,2.75
4368,2,32.29,8.073
212,16,14.21,3.552
2114,23,8.48,2.12
360,0,11.0,2.75
360,1,2.62,0.655
360,2,47.5,11.874
360,4,11.0,2.75
360,5,11.0,2.75
360,6,11.0,2.75
360,7,11.0,2.75
360,8,11.0,2.75
360,9,11.0,2.75
360,10,11.0,2.75
360,11,11.0,2.75
360,12,11.0,2.75
360,13,11.0,2.75
360,14,11.0,2.75
360,15,11.0,2.75
360,16,11.0,2.75
360,17,11.0,2.75
360,18,11.0,2.75
360,19,11.0,2.75
360,20,11.0,2.75
360,21,11.0,2.75
360,22,11.0,2.75
360,23,11.0,2.75
4239,15,58.29,14.571
3772,18,33.13,8.283
3772,19,11.0,2.75
3772,21,6.73,1.683
2879,9,11.0,2.75
2879,14,11.0,2.75
2879,17,11.0,2.75
2879,18,11.0,2.75
2879,20,11.0,2.75
2879,21,3.27,0.818
2879,22,11.0,2.75
8634,16,19.78,4.945
6270,17,24.75,6.188
304,2,11.0,2.75
304,5,11.0,2.75
304,7,11.0,2.75
304,8,11.0,2.75
304,9,11.0,2.75
304,10,11.0,2.75
304,11,103.65,25.912
304,12,11.0,2.75
304,13,11.0,2.75
304,14,11.0,2.75
304,15,11.0,2.75
304,16,11.0,2.75
304,17,11.0,2.75
304,18,11.0,2.75
304,19,11.0,2.75
304,20,11.0,2.75
304,21,11.0,2.75
304,22,11.0,2.75
304,23,11.0,2.75
6488,10,11.0,2.75
6488,19,50.51,12.627
3616,16,11.0,2.75
3616,18,11.0,2.75
3616,22,26.61,6.653
6397,7,6.83,1.707
6397,8,11.0,2.75
6397,10,11.0,2.75
6397,13,11.0,2.75
14,7,11.0,2.75
14,10,11.0,2.75
14,12,26.41,6.602
14,14,20.31,5.077
14,18,11.0,2.75
14,19,11.0,2.75
14,20,11.0,2.75
14,21,11.0,2.75
14,22,11.0,2.75
14,23,11.0,2.75
239,4,11.0,2.75
239,5,14.22,3.554
239,6,11.0,2.75
239,8,11.0,2.75
239,11,11.0,2.75
429,0,11.0,2.75
429,1,11.0,2.75
429,3,23.34,5.836
6377,8,31.95,7.987
6377,9,30.32,7.58
6377,14,11.0,2.75
6377,16,11.0,2.75
7207,9,11.0,2.75
7207,12,11.0,2.75
7207,14,9.82,2.454
5876,5,10.15,2.538
5876,6,2.35,0.587
5876,9,11.0,2.75
5876,11,11.0,2.75
1533,0,8.4,2.1
1533,4,11.0,2.75
1533,7,11.0,2.75
4359,3,33.62,8.404
222,10,14.3,3.576
222,14,11.0,2.75
222,17,11.0,2.75
222,19,11.0,2.75
4217,11,14.05,3.513
1210,16,11.0,2.75
1210,17,5.35,1.338
1210,20,11.0,2.75
1210,21,18.94,4.736
1210,23,11.0,2.75
6037,5,27.86,6.966
6037,6,11.0,2.75
6037,8,11.0,2.75
6037,13,11.0,2.75
2388,0,11.0,2.75
2388,1,11.0,2.75
2388,2,11.0,2.75
2388,3,33.37,8.342
2388,4,11.0,2.75
2388,5,11.0,2.75
1393,0,11.0,2.75
1393,1,11.0,2.75
1393,2,23.18,5.795
1393,3,11.0,2.75
353,4,15.98,3.996
6596,6,26.96,6.739
6596,10,11.0,2.75
6596,13,11.0,2.75
6596,15,11.0,2.75
6596,16,11.0,2.75
6596,18,7.97,1.993
2498,0,11.0,2.75
2498,1,11.0,2.75
2498,2,39.29,9.822
2498,3,11.0,2.75
2498,4,11.0,2.75
2498,5,11.0,2.75
2498,6,11.0,2.75
2498,7,11.0,2.75
2498,8,11.0,2.75
2498,9,11.0,2.75
2498,10,11.0,2.75
2498,11,11.0,2.75
2498,12,11.0,2.75
2498,13,11.0,2.75
2498,14,11.0,2.75
2498,15,11.0,2.75
2498,16,11.0,2.75
2498,17,11.0,2.75
2498,18,11.0,2.75
2498,19,11.0,2.75
2498,20,11.0,2.75
2498,21,11.0,2.75
2498,22,11.0,2.75
2498,23,11.0,2.75
682,0,11.0,2.75
682,1,11.0,2.75
682,4,86.31,21.576
7930,9,9.6,2.401
7930,13,11.0,2.75
6586,1,38.69,9.673
6586,2,11.0,2.75
6586,3,11.0,2.75
8421,6,11.0,2.75
8421,12,11.0,2.75
8421,16,11.0,2.75
8421,17,11.0,2.75
8421,21,11.0,2.75
8421,22,11.0,2.75
