iter	RMSE	MAE	R2
0	9.117318134	6.28570275	0.03481186512
1	8.939324165	6.159956159	0.07213000942
2	8.7857691	6.0482304	0.1037331637
3	8.625001383	5.938879349	0.1362340042
4	8.477051118	5.829831776	0.1656133241
5	8.342115618	5.730805561	0.191965013
6	8.202952924	5.630496799	0.2186993338
7	8.065940671	5.532180917	0.2445811758
8	7.923761797	5.430777497	0.2709780929
9	7.801553216	5.349046343	0.293292164
10	7.68978792	5.267021797	0.31339576
11	7.564316262	5.172816649	0.3356191394
12	7.450448984	5.094050808	0.3554707268
13	7.333387623	5.00987049	0.3755652858
14	7.221344633	4.928341527	0.394500345
15	7.114752787	4.851892371	0.4122435751
16	7.015458782	4.775385249	0.4285346391
17	6.908395927	4.697929602	0.4458438017
18	6.80616235	4.625153693	0.4621237543
19	6.709137908	4.549254641	0.4773497117
20	6.622905895	4.491972587	0.4906985358
21	6.532064172	4.422930949	0.5045741745
22	6.450807196	4.36510259	0.5168234152
23	6.374459134	4.30719019	0.5281929362
24	6.291876467	4.243087389	0.5403384991
25	6.218236382	4.188039824	0.5510352841
26	6.145349531	4.132796055	0.5614986497
27	6.077552039	4.083427889	0.5711206573
28	6.014721286	4.040517034	0.5799424728
29	5.948549874	3.993466766	0.5891342208
30	5.885070331	3.945916112	0.5978564837
31	5.829903791	3.905749627	0.6053605185
32	5.771705224	3.863124143	0.6132003779
33	5.717091117	3.826646123	0.6204858403
34	5.660579799	3.782424736	0.627951472
35	5.603044422	3.738921731	0.6354762012
36	5.551524382	3.702549632	0.6421489801
37	5.49629354	3.659346903	0.649233916
38	5.448316353	3.62344964	0.6553308686
39	5.399196475	3.588933862	0.6615176563
40	5.355050932	3.555566686	0.667030106
41	5.30994851	3.520907115	0.6726153025
42	5.264799762	3.485010518	0.6781589232
43	5.223499362	3.45506712	0.6831885652
44	5.189148457	3.432169701	0.6873417106
45	5.149242623	3.401858219	0.692132059
46	5.110973187	3.375569312	0.6966912345
47	5.07608557	3.353406084	0.7008178868
48	5.04035915	3.327967086	0.7050144635
49	5.005132777	3.306703885	0.7091232814
50	4.972194452	3.282506244	0.7129391506
51	4.938170308	3.260587596	0.7168543565
52	4.90657154	3.238376393	0.7204663938
53	4.876632765	3.215951216	0.7238672863
54	4.84794828	3.195272433	0.7271061728
55	4.816612787	3.17308993	0.7306225578
56	4.790278382	3.156431136	0.7335601002
57	4.761830221	3.136300202	0.7367153315
58	4.737504383	3.118531749	0.7393984432
59	4.711012854	3.098341648	0.7423047967
60	4.686892594	3.08015639	0.7449368265
61	4.660286893	3.059950686	0.7478244001
62	4.633796959	3.041175459	0.7506830779
63	4.612360547	3.026156016	0.7529844728
64	4.590123306	3.012824269	0.7553605673
65	4.567286345	2.997754855	0.7577887911
66	4.54836319	2.982773305	0.7597916895
67	4.526852947	2.969026751	0.7620583165
68	4.509927022	2.959649367	0.7638343202
69	4.492986144	2.948946622	0.7656052312
70	4.476842754	2.940382322	0.7672865755
71	4.458455442	2.930706309	0.7691942534
72	4.438605795	2.918939968	0.7712448354
73	4.419504755	2.905743054	0.7732094432
74	4.401263823	2.889893128	0.775077677
75	4.383081253	2.879336093	0.7769322435
76	4.369602034	2.870601848	0.7783021272
77	4.354559488	2.861105381	0.779825909
78	4.339319669	2.849626533	0.7813643157
79	4.324864636	2.839644194	0.782818517
80	4.310453729	2.828821741	0.784263449
81	4.295382938	2.818508151	0.7857693864
82	4.282126371	2.808250459	0.7870896785
83	4.270118101	2.802088648	0.7882821234
84	4.256564669	2.794528066	0.7896239831
85	4.242899992	2.787330395	0.7909725383
86	4.228263515	2.778103773	0.7924121898
87	4.215259571	2.771141875	0.7936870911
88	4.203946062	2.761042447	0.7947930683
