iter	Passed	Remaining
0	8	4991
1	14	4257
2	19	3845
3	38	5718
4	43	5158
5	47	4728
6	53	4522
7	59	4369
8	64	4256
9	68	4067
10	73	3933
11	80	3953
12	84	3829
13	89	3755
14	95	3732
15	99	3648
16	111	3827
17	115	3743
18	122	3745
19	128	3724
20	133	3674
21	139	3664
22	145	3652
23	152	3648
24	158	3636
25	163	3619
26	169	3604
27	179	3668
28	184	3634
29	190	3618
30	195	3581
31	200	3550
32	205	3530
33	210	3505
34	214	3468
35	222	3482
36	229	3489
37	237	3506
38	243	3506
39	250	3510
40	258	3525
41	265	3527
42	273	3538
43	281	3553
44	294	3627
45	309	3725
46	320	3771
47	326	3756
48	332	3738
49	338	3722
50	343	3697
51	349	3678
52	356	3676
53	361	3659
54	368	3652
55	375	3648
56	381	3637
57	388	3632
58	394	3617
59	400	3605
60	406	3591
61	411	3572
62	418	3563
63	424	3553
64	430	3541
65	436	3529
66	441	3512
67	446	3496
68	452	3484
69	460	3484
70	467	3480
71	471	3457
72	477	3443
73	482	3432
74	487	3412
75	493	3405
76	502	3412
77	508	3403
78	516	3409
79	523	3400
80	531	3403
81	537	3393
82	542	3377
83	549	3372
84	555	3366
85	561	3354
86	567	3345
87	574	3345
88	583	3350
89	590	3347
90	599	3352
91	605	3345
92	612	3338
93	618	3328
94	625	3325
95	638	3349
96	675	3501
97	687	3519
98	700	3547
99	715	3576
100	724	3580
101	732	3574
102	740	3573
103	750	3581
104	764	3602
105	769	3587
106	778	3585
107	786	3583
108	797	3593
109	808	3603
110	818	3604
111	829	3616
112	838	3613
113	845	3604
114	853	3599
115	859	3587
116	866	3577
117	874	3571
118	880	3557
119	890	3562
120	899	3559
121	907	3555
122	913	3541
123	920	3534
124	928	3527
125	941	3542
126	952	3548
127	962	3550
128	972	3549
129	982	3551
130	996	3566
131	1005	3565
132	1012	3556
133	1019	3545
134	1025	3530
135	1029	3512
136	1035	3499
137	1040	3483
138	1044	3463
139	1050	3450
140	1056	3439
141	1062	3426
142	1069	3417
143	1075	3405
144	1082	3395
145	1088	3384
146	1093	3368
147	1097	3351
148	1101	3334
149	1106	3318
150	1111	3304
151	1118	3296
152	1123	3281
153	1128	3268
154	1134	3257
155	1139	3242
156	1142	3224
157	1147	3210
158	1151	3193
159	1155	3178
160	1159	3161
161	1164	3148
162	1169	3134
163	1172	3117
164	1176	3101
165	1180	3087
166	1185	3074
167	1191	3062
168	1197	3053
169	1203	3044
170	1208	3032
171	1215	3023
172	1220	3012
173	1226	3001
174	1234	2996
175	1240	2988
176	1248	2983
177	1254	2973
178	1258	2959
179	1263	2949
180	1268	2936
181	1274	2927
182	1282	2921
183	1285	2907
184	1290	2895
185	1296	2884
186	1300	2872
187	1305	2860
188	1310	2848
189	1314	2837
190	1319	2825
191	1325	2817
192	1332	2810
193	1338	2800
194	1344	2791
195	1350	2783
196	1356	2774
197	1361	2763
198	1365	2751
199	1369	2739
200	1374	2728
201	1378	2715
202	1383	2704
203	1388	2694
204	1392	2682
205	1397	2672
206	1401	2661
207	1407	2651
208	1411	2641
209	1416	2630
210	1420	2618
211	1425	2609
212	1429	2597
213	1433	2584
214	1438	2575
215	1443	2566
216	1447	2554
217	1450	2542
218	1457	2535
219	1463	2527
220	1468	2519
221	1475	2512
222	1480	2503
223	1486	2495
